"EPC","Timestamp","Antenna","TxPower(mW)","Channel Index","Frequency(MHz)","RSS(dBm)","Phase Angle(Radian)","Phase(Degree)","Doppler Shift(Hz)","Velocity",""
"0001","1603526380974558","1","32","8","922.375","-48.5","2.30710710498","132.1875","0","0.0944517469637024",""
"0002","1603526380978918","1","32","8","922.375","-64","0.601320468851171","34.453125","0","0.0767009012302914",""
"0001","1603526380987536","1","32","8","922.375","-48.5","2.33778672073772","133.9453125","0","0.0616783067077458",""
"0002","1603526380991883","1","32","8","922.375","-64","0.650407854063512","37.265625","0","0.0987842424315465",""
"0002","1603526381033347","1","32","8","922.375","-63.5","0.730174855033565","41.8359375","0","0.0501929087299374",""
"0001","1603526381037582","1","32","8","922.375","-48","2.50959256898091","143.7890625","0","0.0895692355220697",""
"0001","1603526381046118","1","32","8","922.375","-47.5","2.54027218473862","145.546875","0","0.0937747263886041",""
"0002","1603526381050533","1","32","8","922.375","-63.5","0.920388472731385","52.734375","0","0.288773338741381",""
"0001","1603526381091912","1","32","8","922.375","-47","2.66912657092102","152.9296875","0","0.0734143440342212",""
"0002","1603526381096199","1","32","8","922.375","-63","1.00629139685298","57.65625","0","0.0490800810333454",""
"0001","1603526381104666","1","32","8","922.375","-47","2.71821395613336","155.7421875","0","0.100418512084444",""
"0002","1603526381109247","1","32","8","922.375","-63","1.05537878206532","60.46875","0","0.0981558632070049",""
"0001","1603526381151027","1","32","8","922.375","-47","2.82252464970958","161.71875","0","0.0587038161200281",""
"0002","1603526381155400","1","32","8","922.375","-63","1.27013609236931","72.7734375","0","0.121405487209323",""
"0001","1603526381163851","1","32","8","922.375","-46.5","2.85320426546729","163.4765625","0","0.0624189850634065",""
"0002","1603526381168152","1","32","8","922.375","-62","1.23332055346006","70.6640625","0","-0.0753256961530544",""
"0001","1603526381203797","1","32","8","922.375","-46.5","2.92069942013426","167.34375","0","0.0440848731236388",""
"0002","1603526381210094","1","32","8","922.375","-63","1.35603901649091","77.6953125","0","0.0763398087314029",""
"0002","1603526381219577","1","32","8","922.375","-62.5","1.45421378691559","83.3203125","0","0.270112349072024",""
"0001","1603526381223799","1","32","8","922.375","-46.5","2.96365088219506","169.8046875","0","0.0560266718445343",""
"0001","1603526381265082","1","32","8","922.375","-46","2.93910718958889","168.3984375","0","-0.0155116840239929",""
"0002","1603526381269738","1","32","8","922.375","-62.5","1.39285455540016","79.8046875","0","-0.0319156741074988",""
"0001","1603526381278247","1","32","8","922.375","-46","2.9268353432858","167.6953125","0","-0.0243208830825104",""
"0002","1603526381282592","1","32","8","922.375","-62.5","1.3989904785517","80.15625","0","0.0124546610308562",""
"0001","1603526381317907","1","32","8","922.375","-46","2.89001980437655","165.5859375","0","-0.0242196993783094",""
"0002","1603526381322209","1","32","8","922.375","-63","1.41126232485479","80.859375","0","0.0080819957538746",""
"0002","1603526381330672","1","32","8","922.375","-62.5","1.40512640170325","80.5078125","0","-0.0189167213624749",""
"0001","1603526381334990","1","32","8","922.375","-46","2.89001980437655","165.5859375","0","0",""
"0001","1603526381370748","1","32","8","922.375","-46","2.84093241916421","162.7734375","0","-0.0358168159048325",""
"0002","1603526381375154","1","32","8","922.375","-63","1.26400016921777","72.421875","0","-0.0827777729527534",""
"0001","1603526381383587","1","32","8","922.375","-45.5","2.79184503395187","159.9609375","0","-0.0997536960140977",""
"0002","1603526381387871","1","32","8","922.375","-62.5","1.30695163127857","74.8828125","0","0.0881218440067921",""
"0001","1603526381429319","1","32","8","922.375","-45.5","2.74275764873953","157.1484375","0","-0.0280052852078413",""
"0002","1603526381433948","1","32","8","922.375","-62.5","1.26400016921777","72.421875","0","-0.0243211469981634",""
"0001","1603526381442338","1","32","8","922.375","-45.5","2.71821395613336","155.7421875","0","-0.0491872533652738",""
"0002","1603526381447012","1","32","8","922.375","-63.5","1.27627201552085","73.125","0","0.0245089119550865",""
"0001","1603526381482492","1","32","8","922.375","-45.5","2.6384469551633","151.171875","0","-0.0518304220645048",""
"0002","1603526381487050","1","32","8","922.375","-63","1.15355355249","66.09375","0","-0.0799701348172361",""
"0001","1603526381495470","1","32","8","922.375","-45.5","2.61390326255713","149.765625","0","-0.0493426453661966",""
"0002","1603526381499743","1","32","8","922.375","-63.5","1.2394564766116","71.015625","0","0.176576930628595",""
"0002","1603526381541054","1","32","8","922.375","-63.5","1.09219432097458","62.578125","0","-0.0930070225696546",""
"0001","1603526381545287","1","32","8","922.375","-45.5","2.58935956995096","148.359375","0","-0.0128544242239095",""
"0002","1603526381553751","1","32","8","922.375","-63.5","1.07992247467149","61.875","0","-0.02521732895812",""
"0001","1603526381557953","1","32","8","922.375","-45.5","2.56481587734479","146.953125","0","-0.0505580966021238",""
"0001","1603526381593853","1","32","8","922.375","-45.5","2.56481587734479","146.953125","0","0",""
"0002","1603526381598287","1","32","8","922.375","-63.5","1.07378655151995","61.5234375","0","-0.00359466977031222",""
"0001","1603526381606612","1","32","8","922.375","-45.5","2.58322364679942","148.0078125","0","0.0376421850201328",""
"0002","1603526381610784","1","32","8","922.375","-64","1.17196132194463","67.1484375","0","0.204967224633912",""
"0002","1603526381646136","1","32","8","922.375","-64","1.20877686085389","69.2578125","0","0.0271711155618848",""
"0001","1603526381650460","1","32","8","922.375","-45","2.61390326255713","149.765625","0","0.0182553608933845",""
"0001","1603526381658617","1","32","8","922.375","-45","2.62617510886022","150.46875","0","0.0392527186197438",""
"0002","1603526381663128","1","32","8","922.375","-64","1.22104870715697","69.9609375","0","0.0188432453967308",""
"0002","1603526381698546","1","32","8","922.375","-64","1.39285455540016","79.8046875","0","0.126562255376856",""
"0001","1603526381702753","1","32","8","922.375","-45","2.69367026352719","154.3359375","0","0.0398997267943827",""
