"EPC","Timestamp","Antenna","TxPower(mW)","Channel Index","Frequency(MHz)","RSS(dBm)","Phase Angle(Radian)","Phase(Degree)","Doppler Shift(Hz)","Velocity",""
"0002","1603527281839666","1","32","8","922.375","-45.5","3.76132089189559","215.5078125","0","0.665703629698453",""
"0001","1603527281843761","1","32","8","922.375","-32","3.39930142595458","194.765625","0","0.0758299606340588",""
"0002","1603527281848119","1","32","8","922.375","-61","3.5895150436524","205.6640625","0","-0.530294801956406",""
"0002","1603527281883779","1","32","8","922.375","-46","3.89631120122953","223.2421875","0","0.224470292892071",""
"0001","1603527281888031","1","32","8","922.375","-31.5","3.52201988898543","201.796875","0","0.072325372889372",""
"0002","1603527281892320","1","32","8","922.375","-61","3.75518496874405","215.15625","0","-0.431111216073572",""
"0002","1603527281900902","1","32","8","922.375","-60.5","3.73677719928942","214.1015625","0","-0.0559632531661472",""
"0001","1603527281905193","1","32","8","922.375","-31.5","3.5465635815916","203.203125","0","0.0373131832864759",""
"0002","1603527281909497","1","32","8","922.375","-45.5","3.93926266329033","225.703125","0","0.614664691726658",""
"0002","1603527281945057","1","32","8","922.375","-60.5","3.72450535298634","213.3984375","0","-0.157571075679749",""
"0001","1603527281949463","1","32","8","922.375","-32","3.6324665057132","208.125","0","0.0506277610225604",""
"0002","1603527281954024","1","32","8","922.375","-46","4.03130151056347","230.9765625","0","0.892674321906016",""
"0001","1603527281962580","1","32","8","922.375","-32","3.62633058256166","207.7734375","0","-0.0122049411367405",""
"0002","1603527281966898","1","32","8","922.375","-61","3.85335973916873","220.78125","0","-0.360624061972046",""
"0002","1603527281971359","1","32","8","922.375","-46","4.03130151056347","230.9765625","0","1.04072498852906",""
"0002","1603527282012983","1","32","8","922.375","-46.5","3.89017527807799","222.890625","0","-0.0884614860773682",""
"0001","1603527282017137","1","32","8","922.375","-33","3.47906842692463","199.3359375","0","-0.0704256669057133",""
"0002","1603527282021550","1","32","8","922.375","-62","3.55883542789469","203.90625","0","-1.00910231073815",""
"0002","1603527282029848","1","32","8","922.375","-62","3.35634996389378","192.3046875","0","-0.636664621040085",""
"0001","1603527282033969","1","32","8","922.375","-33.5","3.36862181019687","193.0078125","0","-0.17120127329083",""
"0002","1603527282038285","1","32","8","922.375","-46.5","3.65701019831937","209.53125","0","0.929775800834494",""
"0001","1603527282079760","1","32","8","922.375","-34","2.95137903589197","169.1015625","0","-0.237738212237394",""
"0002","1603527282084064","1","32","8","922.375","-47","3.28271888607527","188.0859375","0","-0.213321063944781",""
"0002","1603527282088291","1","32","8","922.375","-63","2.81025280340649","161.015625","0","-2.91627641177623",""
"0001","1603527282096661","1","32","8","922.375","-34","2.79184503395187","159.9609375","0","-0.246281139290944",""
"0002","1603527282100853","1","32","8","922.375","-47.5","3.0556897294682","175.078125","0","0.509766638721939",""
"0002","1603527282105167","1","32","8","922.375","-63","2.70594210983027","155.0390625","0","-2.11526567797071",""
"0002","1603527282146490","1","32","8","922.375","-46.5","2.73662172558798","156.796875","0","0.0193708362038846",""
"0001","1603527282150615","1","32","8","922.375","-34.5","2.38073818279852","136.40625","0","-0.198802280899875",""
"0002","1603527282154917","1","32","8","922.375","-62.5","2.17211679564607","124.453125","0","-1.74777306110567",""
"0001","1603527282163744","1","32","8","922.375","-34.5","2.30097118182846","131.8359375","0","-0.158519214531048",""
"0002","1603527282168119","1","32","8","922.375","-47","2.61390326255713","149.765625","0","0.873097964560294",""
"0002","1603527282172515","1","32","8","922.375","-63","2.03099056316059","116.3671875","0","-3.45968157975645",""
"0001","1603527282208079","1","32","8","922.375","-34","2.14143717988836","122.6953125","0","-0.093885136690115",""
"0002","1603527282212382","1","32","8","922.375","-47","2.4789129532232","142.03125","0","0.293142988963695",""
"0002","1603527282216747","1","32","8","922.375","-62","1.95122356219054","111.796875","0","-3.15416501915092",""
"0002","1603527282225364","1","32","8","922.375","-47","2.47277703007165","141.6796875","0","1.57918511032878",""
"0001","1603527282229706","1","32","8","922.375","-34","2.12916533358527","121.9921875","0","-0.0148048469866949",""
"0002","1603527282234121","1","32","8","922.375","-61.5","1.88986433067511","108.28125","0","-1.73675462197207",""
"0001","1603527282281886","1","32","8","922.375","-34","2.19666048825224","125.859375","0","0.0337488375200628",""
"0002","1603527282286244","1","32","8","922.375","-46.5","2.58322364679942","148.0078125","0","0.347071735253931",""
"0002","1603527282290642","1","32","8","922.375","-62.5","2.08621387152447","119.53125","0","-2.94849232472502",""
"0002","1603527282299221","1","32","8","922.375","-63","2.30710710498","132.1875","0","0.671793876216634",""
"0001","1603527282303535","1","32","8","922.375","-34","2.22734010400995","127.6171875","0","0.0369745052636669",""
"0002","1603527282307739","1","32","8","922.375","-46.5","2.65071880146639","151.875","0","1.05249635147629",""
"0001","1603527282343156","1","32","8","922.375","-34.5","2.28256341237383","130.78125","0","0.036365309205109",""
"0002","1603527282347489","1","32","8","922.375","-63","2.4789129532232","142.03125","0","-0.112769357507862",""
"0002","1603527282351892","1","32","8","922.375","-46.5","2.6813984172241","153.6328125","0","1.19987350111075",""
"0002","1603527282360397","1","32","8","922.375","-63","2.4789129532232","142.03125","0","-0.621169079998898",""
"0001","1603527282364772","1","32","8","922.375","-34.5","2.25801971976766","129.375","0","-0.0296247618228396",""
"0002","1603527282369174","1","32","8","922.375","-47","2.63231103201176","150.8203125","0","0.455999239178036",""
"0002","1603527282404624","1","32","8","922.375","-47","2.52800033843554","144.84375","0","-0.076772006181682",""
"0001","1603527282408936","1","32","8","922.375","-34.5","2.12302941043373","121.640625","0","-0.0797488606918248",""
"0002","1603527282413286","1","32","8","922.375","-63.5","2.15370902619144","123.3984375","0","-1.12740994993398",""
"0002","1603527282421725","1","32","8","922.375","-64","2.24574787346458","128.671875","0","0.284557790420592",""
"0001","1603527282425981","1","32","8","922.375","-34.5","2.04939833261522","117.421875","0","-0.112707923419625",""
"0002","1603527282430270","1","32","8","922.375","-47.5","2.42368964485931","138.8671875","0","0.543320558669178",""
"0001","1603527282465593","1","32","8","922.375","-35","1.87759248437202","107.578125","0","-0.113162222582488",""
"0002","1603527282469737","1","32","8","922.375","-63.5","2.28869933552538","131.1328125","0","-0.0892398379302645",""
"0002","1603527282474086","1","32","8","922.375","-48","2.20893233455532","126.5625","0","-0.478546508985543",""
"0001","1603527282482824","1","32","8","922.375","-35.5","1.79782548340197","103.0078125","0","-0.120782239427667",""
"0002","1603527282487158","1","32","8","922.375","-48","2.1475731030399","123.046875","0","-0.122469563104823",""
"0002","1603527282491528","1","32","8","922.375","-63","1.93895171588745","111.09375","0","-1.24556870441219",""
"0002","1603527282527121","1","32","8","922.375","-48","1.92054394643282","110.0390625","0","-0.0134935700466911",""
"0001","1603527282531319","1","32","8","922.375","-37","1.55238855734027","88.9453125","0","-0.132048427995154",""
"0002","1603527282535737","1","32","8","922.375","-63.5","1.62601963515878","93.1640625","0","-0.8918786233461",""
"0001","1603527282544037","1","32","8","922.375","-37","1.52170894158256","87.1875","0","-0.0629392250710115",""
"0002","1603527282548358","1","32","8","922.375","-48.5","1.80396140655351","103.359375","0","0.36785311574583",""
"0002","1603527282552683","1","32","8","922.375","-63.5","1.70578663612883","97.734375","0","-0.592248648843931",""
"0002","1603527282594112","1","32","8","922.375","-49","1.76714586764426","101.25","0","0.0386425481886179",""
"0001","1603527282598456","1","32","8","922.375","-37","1.39285455540016","79.8046875","0","-0.061778725641837",""
"0002","1603527282602843","1","32","8","922.375","-64.5","1.60147594255261","91.7578125","0","-0.495073845842043",""
"0002","1603527282611380","1","32","8","922.375","-49","1.7732817907958","101.6015625","0","0.525076954543458",""
"0001","1603527282615652","1","32","8","922.375","-37","1.39285455540016","79.8046875","0","0",""
"0002","1603527282620011","1","32","8","922.375","-64","1.51557301843101","86.8359375","0","-0.779037532314477",""
"0002","1603527282655517","1","32","8","922.375","-64","1.65669925091649","94.921875","0","0.103704187925544",""
"0001","1603527282659698","1","32","8","922.375","-37","1.55238855734027","88.9453125","0","0.0945011473268004",""
"0002","1603527282664286","1","32","8","922.375","-48.5","1.93895171588745","111.09375","0","0.839804058954128",""
"0002","1603527282672837","1","32","8","922.375","-64","1.66897109721958","95.625","0","-0.82377001136563",""
"0001","1603527282677114","1","32","8","922.375","-36.5","1.66283517406803","95.2734375","0","0.165460486451036",""
"0002","1603527282681501","1","32","8","922.375","-48.5","2.06780610206984","118.4765625","0","1.20106115395783",""
"0002","1603527282717199","1","32","8","922.375","-48","2.44209741431394","139.921875","0","0.273562244000452",""
"0001","1603527282721408","1","32","8","922.375","-35.5","2.05553425576676","117.7734375","0","0.231315790513388",""
"0002","1603527282725826","1","32","8","922.375","-63.5","2.30710710498","132.1875","0","-0.408256483550916",""
"0002","1603527282734150","1","32","8","922.375","-48","2.61390326255713","149.765625","0","0.961630303283427",""
"0001","1603527282738375","1","32","8","922.375","-35.5","2.21506825770687","126.9140625","0","0.245323129319046",""
"0002","1603527282742864","1","32","8","922.375","-63.5","2.50959256898091","143.7890625","0","-0.312321278303951",""
"0001","1603527282784253","1","32","8","922.375","-35","2.60163141625405","149.0625","0","0.219839779678917",""
"0002","1603527282788410","1","32","8","922.375","-47.5","3.0127382674074","172.6171875","0","0.288226440456489",""
"0001","1603527282801553","1","32","8","922.375","-35","2.6813984172241","153.6328125","0","0.120300506796423",""
"0002","1603527282806068","1","32","8","922.375","-48","3.10477711468054","177.890625","0","0.135994064636956",""
"0002","1603527282841605","1","32","8","922.375","-48","3.16000042304442","181.0546875","0","0.0405445005491635",""
"0001","1603527282845877","1","32","8","922.375","-35","2.77343726449724","158.90625","0","0.0541779440790401",""
